State_X,State_Y,Action_0,Action_1,Action_2,Action_3
0,0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0
0,3,0.0,0.0,0.0,0.0
0,4,0.0,0.0,0.0,0.0
0,5,0.0,0.0,0.0,0.0
0,6,0.0,0.0,0.0,0.0
0,7,0.0,0.0,0.0,0.0
0,8,0.0,0.0,0.0,0.0
0,9,0.0,0.0,0.0,0.0
0,10,0.0,0.0,0.0,0.0
0,11,0.0,0.0,0.0,0.0
0,12,0.0,0.0,0.0,0.0
0,13,0.0,0.0,0.0,0.0
0,14,0.0,0.0,0.0,0.0
0,15,0.0,0.0,0.0,0.0
0,16,0.0,0.0,0.0,0.0
0,17,0.0,0.0,0.0,0.0
0,18,0.0,0.0,0.0,0.0
0,19,0.0,0.0,0.0,0.0
0,20,0.0,0.0,0.0,0.0
0,21,0.0,0.0,0.0,0.0
0,22,0.0,0.0,0.0,0.0
0,23,0.0,0.0,0.0,0.0
0,24,0.0,0.0,0.0,0.0
0,25,0.0,0.0,0.0,0.0
0,26,0.0,0.0,0.0,0.0
0,27,0.0,0.0,0.0,0.0
0,28,0.0,0.0,0.0,0.0
0,29,0.0,0.0,0.0,0.0
1,0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0
1,9,0.0,0.0,0.0,0.0
1,10,0.0,0.0,0.0,0.0
1,11,0.0,0.0,0.0,0.0
1,12,0.0,0.0,0.0,0.0
1,13,0.0,0.0,0.0,0.0
1,14,0.0,0.0,0.0,0.0
1,15,0.0,0.0,0.0,0.0
1,16,0.0,0.0,0.0,0.0
1,17,0.0,0.0,0.0,0.0
1,18,0.0,0.0,0.0,0.0
1,19,0.0,0.0,0.0,0.0
1,20,0.0,0.0,0.0,0.0
1,21,0.0,0.0,0.0,0.0
1,22,0.0,0.0,0.0,0.0
1,23,0.0,0.0,0.0,0.0
1,24,0.0,0.0,0.0,0.0
1,25,0.0,0.0,0.0,0.0
1,26,0.0,0.0,0.0,0.0
1,27,0.0,0.0,0.0,0.0
1,28,0.0,0.0,0.0,0.0
1,29,0.0,0.0,0.0,0.0
2,0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0
2,8,0.0,0.0,0.0,0.0
2,9,0.0,0.0,0.0,0.0
2,10,0.0,0.0,0.0,0.0
2,11,0.0,0.0,0.0,0.0
2,12,0.0,0.0,0.0,0.0
2,13,0.0,0.0,0.0,0.0
2,14,0.0,0.0,0.0,0.0
2,15,0.0,0.0,0.0,0.0
2,16,0.0,0.0,0.0,0.0
2,17,0.0,0.0,0.0,0.0
2,18,0.0,0.0,0.0,0.0
2,19,0.0,0.0,0.0,0.0
2,20,0.0,0.0,0.0,0.0
2,21,0.0,0.0,0.0,0.0
2,22,0.0,0.0,0.0,0.0
2,23,0.0,0.0,0.0,0.0
2,24,0.0,0.0,0.0,0.0
2,25,0.0,0.0,0.0,0.0
2,26,0.0,0.0,0.0,0.0
2,27,0.0,0.0,0.0,0.0
2,28,0.0,0.0,0.0,0.0
2,29,0.0,0.0,0.0,0.0
3,0,0.0,0.0,0.0,0.0
3,1,0.0,0.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0
3,7,0.0,0.0,0.0,0.0
3,8,0.0,0.0,0.0,0.0
3,9,0.0,0.0,0.0,0.0
3,10,0.0,0.0,0.0,0.0
3,11,0.0,0.0,0.0,0.0
3,12,0.0,0.0,0.0,0.0
3,13,0.0,0.0,0.0,0.0
3,14,0.0,0.0,0.0,0.0
3,15,0.0,0.0,0.0,0.0
3,16,0.0,0.0,0.0,0.0
3,17,0.0,0.0,0.0,0.0
3,18,0.0,0.0,0.0,0.0
3,19,0.0,0.0,0.0,0.0
3,20,0.0,0.0,0.0,0.0
3,21,0.0,0.0,0.0,0.0
3,22,0.0,0.0,0.0,0.0
3,23,0.0,0.0,0.0,0.0
3,24,0.0,0.0,0.0,0.0
3,25,0.0,0.0,0.0,0.0
3,26,0.0,0.0,0.0,0.0
3,27,0.0,0.0,0.0,0.0
3,28,0.0,0.0,0.0,0.0
3,29,0.0,0.0,0.0,0.0
4,0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0
4,7,0.0,0.0,0.0,0.0
4,8,0.0,0.0,0.0,0.0
4,9,0.0,0.0,0.0,0.0
4,10,0.0,0.0,0.0,0.0
4,11,0.0,0.0,0.0,0.0
4,12,0.0,0.0,0.0,0.0
4,13,0.0,0.0,0.0,0.0
4,14,0.0,0.0,0.0,0.0
4,15,0.0,0.0,0.0,0.0
4,16,0.0,0.0,0.0,0.0
4,17,0.0,0.0,0.0,0.0
4,18,0.0,0.0,0.0,0.0
4,19,0.0,0.0,0.0,0.0
4,20,0.0,0.0,0.0,0.0
4,21,0.0,0.0,0.0,0.0
4,22,0.0,0.0,0.0,0.0
4,23,0.0,0.0,0.0,0.0
4,24,0.0,0.0,0.0,0.0
4,25,0.0,0.0,0.0,0.0
4,26,0.0,0.0,0.0,0.0
4,27,0.0,0.0,0.0,0.0
4,28,0.0,0.0,0.0,0.0
4,29,0.0,0.0,0.0,0.0
5,0,0.0,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0
5,8,0.0,0.0,0.0,0.0
5,9,0.0,0.0,0.0,0.0
5,10,0.0,0.0,0.0,0.0
5,11,0.0,0.0,0.0,0.0
5,12,0.0,0.0,0.0,0.0
5,13,0.0,0.0,0.0,0.0
5,14,0.0,0.0,0.0,0.0
5,15,0.0,0.0,0.0,0.0
5,16,0.0,0.0,0.0,0.0
5,17,0.0,0.0,0.0,0.0
5,18,0.0,0.0,0.0,0.0
5,19,0.0,0.0,0.0,0.0
5,20,0.0,0.0,0.0,0.0
5,21,0.0,0.0,0.0,0.0
5,22,0.0,0.0,0.0,0.0
5,23,0.0,0.0,0.0,0.0
5,24,0.0,0.0,0.0,0.0
5,25,0.0,0.0,0.0,0.0
5,26,0.0,0.0,0.0,0.0
5,27,0.0,0.0,0.0,0.0
5,28,0.0,0.0,0.0,0.0
5,29,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0
6,1,0.0,0.0,0.0,0.0
6,2,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.0
6,4,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
6,8,0.0,0.0,0.0,0.0
6,9,0.0,0.0,0.0,0.0
6,10,0.0,0.0,0.0,0.0
6,11,0.0,0.0,0.0,0.0
6,12,0.0,0.0,0.0,0.0
6,13,0.0,0.0,0.0,0.0
6,14,0.0,0.0,0.0,0.0
6,15,0.0,0.0,0.0,0.0
6,16,0.0,0.0,0.0,0.0
6,17,0.0,0.0,0.0,0.0
6,18,0.0,0.0,0.0,0.0
6,19,0.0,0.0,0.0,0.0
6,20,0.0,0.0,0.0,0.0
6,21,0.0,0.0,0.0,0.0
6,22,0.0,0.0,0.0,0.0
6,23,0.0,0.0,0.0,0.0
6,24,0.0,0.0,0.0,0.0
6,25,0.0,0.0,0.0,0.0
6,26,0.0,0.0,0.0,0.0
6,27,0.0,0.0,0.0,0.0
6,28,0.0,0.0,0.0,0.0
6,29,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0
7,1,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,0.0
7,4,0.0,0.0,0.0,0.0
7,5,0.0,0.0,0.0,0.0
7,6,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0
7,10,0.0,0.0,0.0,0.0
7,11,0.0,0.0,0.0,0.0
7,12,0.0,0.0,0.0,0.0
7,13,0.0,0.0,0.0,0.0
7,14,0.0,0.0,0.0,0.0
7,15,0.0,0.0,0.0,0.0
7,16,0.0,0.0,0.0,0.0
7,17,0.0,0.0,0.0,0.0
7,18,0.0,0.0,0.0,0.0
7,19,0.0,0.0,0.0,0.0
7,20,0.0,0.0,0.0,0.0
7,21,0.0,0.0,0.0,0.0
7,22,0.0,0.0,0.0,0.0
7,23,0.0,0.0,0.0,0.0
7,24,0.0,0.0,0.0,0.0
7,25,0.0,0.0,0.0,0.0
7,26,0.0,0.0,0.0,0.0
7,27,0.0,0.0,0.0,0.0
7,28,0.0,0.0,0.0,0.0
7,29,0.0,0.0,0.0,0.0
8,0,0.0,0.0,0.0,0.0
8,1,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0
8,6,0.0,0.0,0.0,0.0
8,7,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
8,10,0.0,0.0,0.0,0.0
8,11,0.0,0.0,0.0,0.0
8,12,0.0,0.0,0.0,0.0
8,13,0.0,0.0,0.0,0.0
8,14,0.0,0.0,0.0,0.0
8,15,0.0,0.0,0.0,0.0
8,16,0.0,0.0,0.0,0.0
8,17,0.0,0.0,0.0,0.0
8,18,0.0,0.0,0.0,0.0
8,19,0.0,0.0,0.0,0.0
8,20,0.0,0.0,0.0,0.0
8,21,0.0,0.0,0.0,0.0
8,22,0.0,0.0,0.0,0.0
8,23,0.0,0.0,0.0,0.0
8,24,0.0,0.0,0.0,0.0
8,25,0.0,0.0,0.0,0.0
8,26,0.0,0.0,0.0,0.0
8,27,0.0,0.0,0.0,0.0
8,28,0.0,0.0,0.0,0.0
8,29,0.0,0.0,0.0,0.0
9,0,0.0,0.0,0.0,0.0
9,1,0.0,0.0,0.0,0.0
9,2,0.0,0.0,0.0,0.0
9,3,0.0,0.0,0.0,0.0
9,4,0.0,0.0,0.0,0.0
9,5,0.0,0.0,0.0,0.0
9,6,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0
9,8,0.0,0.0,0.0,0.0
9,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
9,11,0.0,0.0,0.0,0.0
9,12,0.0,0.0,0.0,0.0
9,13,0.0,0.0,0.0,0.0
9,14,0.0,0.0,0.0,0.0
9,15,0.0,0.0,0.0,0.0
9,16,0.0,0.0,0.0,0.0
9,17,0.0,0.0,0.0,0.0
9,18,0.0,0.0,0.0,0.0
9,19,0.0,0.0,0.0,0.0
9,20,0.0,0.0,0.0,0.0
9,21,0.0,0.0,0.0,0.0
9,22,0.0,0.0,0.0,0.0
9,23,0.0,0.0,0.0,0.0
9,24,0.0,0.0,0.0,0.0
9,25,0.0,0.0,0.0,0.0
9,26,0.0,0.0,0.0,0.0
9,27,0.0,0.0,0.0,0.0
9,28,0.0,0.0,0.0,0.0
9,29,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
10,1,0.0,0.0,0.0,0.0
10,2,0.0,0.0,0.0,0.0
10,3,0.0,0.0,0.0,0.0
10,4,0.0,0.0,0.0,0.0
10,5,0.0,0.0,0.0,0.0
10,6,0.0,0.0,0.0,0.0
10,7,0.0,0.0,0.0,0.0
10,8,0.0,0.0,0.0,0.0
10,9,0.0,0.0,0.0,0.0
10,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
10,12,0.0,0.0,0.0,0.0
10,13,0.0,0.0,0.0,0.0
10,14,0.0,0.0,0.0,0.0
10,15,0.0,0.0,0.0,0.0
10,16,0.0,0.0,0.0,0.0
10,17,0.0,0.0,0.0,0.0
10,18,0.0,0.0,0.0,0.0
10,19,0.0,0.0,0.0,0.0
10,20,0.0,0.0,0.0,0.0
10,21,0.0,0.0,0.0,0.0
10,22,0.0,0.0,0.0,0.0
10,23,0.0,0.0,0.0,0.0
10,24,0.0,0.0,0.0,0.0
10,25,0.0,0.0,0.0,0.0
10,26,0.0,0.0,0.0,0.0
10,27,0.0,0.0,0.0,0.0
10,28,0.0,0.0,0.0,0.0
10,29,0.0,0.0,0.0,0.0
11,0,0.0,0.0,0.0,0.0
11,1,0.0,0.0,0.0,0.0
11,2,0.0,0.0,0.0,0.0
11,3,0.0,0.0,0.0,0.0
11,4,0.0,0.0,0.0,0.0
11,5,0.0,0.0,0.0,0.0
11,6,0.0,0.0,0.0,0.0
11,7,0.0,0.0,0.0,0.0
11,8,0.0,0.0,0.0,0.0
11,9,0.0,0.0,0.0,0.0
11,10,0.0,0.0,0.0,0.0
11,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
11,13,0.0,0.0,0.0,0.0
11,14,0.0,0.0,0.0,0.0
11,15,0.0,0.0,0.0,0.0
11,16,0.0,0.0,0.0,0.0
11,17,0.0,0.0,0.0,0.0
11,18,0.0,0.0,0.0,0.0
11,19,0.0,0.0,0.0,0.0
11,20,0.0,0.0,0.0,0.0
11,21,0.0,0.0,0.0,0.0
11,22,0.0,0.0,0.0,0.0
11,23,0.0,0.0,0.0,0.0
11,24,0.0,0.0,0.0,0.0
11,25,0.0,0.0,0.0,0.0
11,26,0.0,0.0,0.0,0.0
11,27,0.0,0.0,0.0,0.0
11,28,0.0,0.0,0.0,0.0
11,29,0.0,0.0,0.0,0.0
12,0,0.0,0.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0
12,2,0.0,0.0,0.0,0.0
12,3,0.0,0.0,0.0,0.0
12,4,0.0,0.0,0.0,0.0
12,5,0.0,0.0,0.0,0.0
12,6,0.0,0.0,0.0,0.0
12,7,0.0,0.0,0.0,0.0
12,8,0.0,0.0,0.0,0.0
12,9,0.0,0.0,0.0,0.0
12,10,0.0,0.0,0.0,0.0
12,11,0.0,0.0,0.0,0.0
12,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
12,14,0.0,0.0,0.0,0.0
12,15,0.0,0.0,0.0,0.0
12,16,0.0,0.0,0.0,0.0
12,17,0.0,0.0,0.0,0.0
12,18,0.0,0.0,0.0,0.0
12,19,0.0,0.0,0.0,0.0
12,20,0.0,0.0,0.0,0.0
12,21,0.0,0.0,0.0,0.0
12,22,0.0,0.0,0.0,0.0
12,23,0.0,0.0,0.0,0.0
12,24,0.0,0.0,0.0,0.0
12,25,0.0,0.0,0.0,0.0
12,26,0.0,0.0,0.0,0.0
12,27,0.0,0.0,0.0,0.0
12,28,0.0,0.0,0.0,0.0
12,29,0.0,0.0,0.0,0.0
13,0,0.0,0.0,0.0,0.0
13,1,0.0,0.0,0.0,0.0
13,2,0.0,0.0,0.0,0.0
13,3,0.0,0.0,0.0,0.0
13,4,0.0,0.0,0.0,0.0
13,5,0.0,0.0,0.0,0.0
13,6,0.0,0.0,0.0,0.0
13,7,0.0,0.0,0.0,0.0
13,8,0.0,0.0,0.0,0.0
13,9,0.0,0.0,0.0,0.0
13,10,0.0,0.0,0.0,0.0
13,11,0.0,0.0,0.0,0.0
13,12,0.0,0.0,0.0,0.0
13,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
13,15,0.0,0.0,0.0,0.0
13,16,0.0,0.0,0.0,0.0
13,17,0.0,0.0,0.0,0.0
13,18,0.0,0.0,0.0,0.0
13,19,0.0,0.0,0.0,0.0
13,20,0.0,0.0,0.0,0.0
13,21,0.0,0.0,0.0,0.0
13,22,0.0,0.0,0.0,0.0
13,23,0.0,0.0,0.0,0.0
13,24,0.0,0.0,0.0,0.0
13,25,0.0,0.0,0.0,0.0
13,26,0.0,0.0,0.0,0.0
13,27,0.0,0.0,0.0,0.0
13,28,0.0,0.0,0.0,0.0
13,29,0.0,0.0,0.0,0.0
14,0,0.0,0.0,0.0,0.0
14,1,0.0,0.0,0.0,0.0
14,2,0.0,0.0,0.0,0.0
14,3,0.0,0.0,0.0,0.0
14,4,0.0,0.0,0.0,0.0
14,5,0.0,0.0,0.0,0.0
14,6,0.0,0.0,0.0,0.0
14,7,0.0,0.0,0.0,0.0
14,8,0.0,0.0,0.0,0.0
14,9,0.0,0.0,0.0,0.0
14,10,0.0,0.0,0.0,0.0
14,11,0.0,0.0,0.0,0.0
14,12,0.0,0.0,0.0,0.0
14,13,0.0,0.0,0.0,0.0
14,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
14,16,0.0,0.0,0.0,0.0
14,17,-35.22248914678452,-11.795717107412328,-0.6944142179859311,-52.01629723976519
14,18,-32.8063415790559,-12.845077887593588,-22.77466473717039,0.6068240275786865
14,19,0.515839776679829,0.0,-24.291927909728802,2.3851918136043815
14,20,0.0,0.0,0.0,0.0
14,21,0.0,0.0,0.0,0.0
14,22,0.0,-51.55467090205962,0.0,1.4057496966231737
14,23,0.0,0.0,0.0,1.7701548581097903
14,24,0.0,0.0,0.0,0.0
14,25,0.0,0.0,0.0,0.0
14,26,0.0,0.0,0.0,0.0
14,27,0.0,0.0,0.0,0.0
14,28,0.0,0.0,0.0,0.0
14,29,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
15,1,0.0,0.0,0.0,0.0
15,2,0.0,0.0,0.0,0.0
15,3,0.0,0.0,0.0,0.0
15,4,0.0,0.0,0.0,0.0
15,5,0.0,0.0,0.0,0.0
15,6,0.0,0.0,0.0,0.0
15,7,0.0,0.0,0.0,0.0
15,8,0.0,0.0,0.0,0.0
15,9,0.0,0.0,0.0,0.0
15,10,0.0,0.0,0.0,0.0
15,11,0.0,0.0,0.0,0.0
15,12,0.0,0.0,0.0,0.0
15,13,0.0,0.0,0.0,0.0
15,14,0.0,0.0,0.0,0.0
15,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
15,17,6.777801468052036,-18.64454193841867,-24.991588335366224,-0.5085500740408282
15,18,-1.5834696116050764,-9.220910018018168,-6.083103799434327,-1.3135347136406426
15,19,3.3189969708122935,2.7166353006974555,4.056885754453231,4.247810289241252
15,20,3.555952739952131,-0.13298309774059275,0.0,3.935074708725141
15,21,0.0,0.0,0.0,0.0
15,22,0.0,0.0,0.0,0.0
15,23,3.163973107410696,-3.064505701794985,-6.515266389387144,2.31465714262794
15,24,0.0,0.0,0.0,0.0
15,25,0.0,0.0,0.0,0.0
15,26,0.0,0.0,0.0,0.0
15,27,0.0,0.0,0.0,0.0
15,28,0.0,0.0,0.0,0.0
15,29,0.0,0.0,0.0,0.0
16,0,0.0,0.0,0.0,0.0
16,1,0.0,0.0,0.0,0.0
16,2,0.0,0.0,0.0,0.0
16,3,0.0,0.0,0.0,0.0
16,4,0.0,0.0,0.0,0.0
16,5,0.0,0.0,0.0,0.0
16,6,0.0,0.0,0.0,0.0
16,7,0.0,0.0,0.0,0.0
16,8,0.0,0.0,0.0,0.0
16,9,0.0,0.0,0.0,0.0
16,10,0.0,0.0,0.0,0.0
16,11,0.0,0.0,0.0,0.0
16,12,0.0,0.0,0.0,0.0
16,13,0.0,0.0,0.0,0.0
16,14,0.0,0.0,0.0,0.0
16,15,0.0,0.0,0.0,0.0
16,16,0.0,0.0,0.0,0.0
16,17,-3.0864770484498765,-3.1492531810600957,3.9464843818732795,-4.264452976735596
16,18,19.186570529191364,26.70665018419873,26.881298515810407,28.585910484131986
16,19,34.99601899084696,31.150931856469438,32.13761406108458,34.97412593498979
16,20,28.239960779547438,31.104460847617123,33.220193648346154,33.830450828425654
16,21,20.94838025456184,3.7645613884780698,5.019482211611625,8.640554903506398
16,22,0.0,0.0,0.0,0.0
16,23,2.871897905262897,0.0,-5.212885443160646,2.8271669884085795
16,24,0.0,0.0,0.0,0.0
16,25,0.0,0.0,0.0,0.0
16,26,0.0,0.0,0.0,0.0
16,27,0.0,0.0,0.0,0.0
16,28,0.0,0.0,0.0,0.0
16,29,0.0,0.0,0.0,0.0
17,0,0.0,0.0,0.0,0.0
17,1,0.0,0.0,0.0,0.0
17,2,0.0,0.0,0.0,0.0
17,3,0.0,0.0,0.0,0.0
17,4,0.0,0.0,0.0,0.0
17,5,0.0,0.0,0.0,0.0
17,6,0.0,0.0,0.0,0.0
17,7,0.0,0.0,0.0,0.0
17,8,0.0,0.0,0.0,0.0
17,9,0.0,0.0,0.0,0.0
17,10,0.0,0.0,0.0,0.0
17,11,0.0,0.0,0.0,0.0
17,12,0.0,0.0,0.0,0.0
17,13,0.0,0.0,0.0,0.0
17,14,0.0,0.0,0.0,0.0
17,15,0.0,0.0,0.0,0.0
17,16,0.0,-19.534040700552683,0.0,0.0
17,17,26.56893338199243,30.36031912019515,28.51887853962524,29.662783757831864
17,18,17.85442017422364,20.34477776175298,20.82309156385901,19.42810081032152
17,19,39.62530342260445,38.68765898965011,39.34715639327882,38.88267780290047
17,20,45.571411162999276,44.63438651817087,43.86378376160151,45.8391207549312
17,21,36.26741267344717,28.211725502918963,36.20497455316367,37.43446227567766
